time,PM1(ug/m3),PM10(ug/m3),PM2.5(ug/m3),RH(%),T(C)
2020-02-24 14:54:08.472999940,9.493,22.332,20.619,36.8,17.7
2020-02-24 14:54:09.856999940,10.809,75.225,40.611,36.7,17.7
2020-02-24 14:55:04.303000060,7.33,24.1,20.381,36.6,17.8
2020-02-24 14:55:05.688000000,10.258,42.49,34.449,36.5,17.8
2020-02-24 14:55:07.072000000,8.63,37.418,28.355,36.4,17.8
2020-02-24 14:55:08.456000000,7.673999999999999,45.692,21.675,36.4,17.8
2020-02-24 14:56:02.907000060,11.433,58.136,43.802,36.4,18.0
2020-02-24 14:56:04.291000060,9.334,27.696,25.734,36.3,18.0
2020-02-24 14:56:05.676000000,8.637,41.118,27.168000000000003,36.1,18.0
2020-02-24 14:56:07.064000000,9.214,38.155,28.976,36.1,18.0
2020-02-24 14:57:07.056000000,9.257,41.225,34.493,35.8,18.1
2020-02-24 14:57:08.446000130,12.965,74.157,42.531000000000006,35.7,18.1
2020-02-24 14:57:09.833999870,12.21,44.428,36.674,35.7,18.2
2020-02-24 14:57:11.222000130,11.412,130.014,33.744,35.6,18.1
2020-02-24 14:58:05.659000060,10.772,43.953,35.244,35.6,18.3
2020-02-24 14:58:07.047000060,13.946,42.232,37.062,35.6,18.3
2020-02-24 14:58:08.436000000,11.372,50.239,40.278,35.6,18.3
2020-02-24 14:58:09.820000000,10.76,87.929,37.194,35.5,18.3
2020-02-24 14:59:04.260999940,12.075,45.117,37.03,35.5,18.4
2020-02-24 14:59:05.648000000,13.18,57.153,44.589,35.4,18.4
2020-02-24 14:59:07.038000130,12.524,59.789,46.212,35.3,18.4
2020-02-24 14:59:08.425999870,13.888,43.981,39.208,35.3,18.4
2020-02-24 15:00:02.859000060,12.364,43.995,36.406,35.4,18.5
2020-02-24 15:00:04.247000060,11.26,43.432,35.471,35.3,18.5
2020-02-24 15:00:05.635000060,10.524,61.338,31.873,35.2,18.5
2020-02-24 15:00:07.024000000,12.143,50.981,38.915,35.1,18.5
2020-02-24 15:01:07.011000060,12.892,41.975,37.487,34.7,18.7
2020-02-24 15:01:08.398000130,13.115,64.283,47.323,34.7,18.6
2020-02-24 15:01:09.791000060,13.879,67.732,49.193000000000005,34.7,18.7
2020-02-24 15:01:11.180000000,12.223,39.136,32.662,34.6,18.7
2020-02-24 15:02:05.608000000,14.984000000000002,67.314,54.582,34.6,18.8
2020-02-24 15:02:06.996999940,14.630999999999998,75.577,46.269,34.5,18.8
2020-02-24 15:02:08.385999870,14.981,75.618,54.816,34.4,18.8
2020-02-24 15:02:09.774000130,14.062,54.179,45.433,34.4,18.8
2020-02-24 15:03:04.203000060,13.318,52.795,42.623000000000005,34.5,18.9
2020-02-24 15:03:05.592000000,12.943,63.559,49.937,34.5,18.9
2020-02-24 15:03:06.984000000,14.754,55.463,45.489,34.4,18.9
2020-02-24 15:03:08.372000000,15.554,59.014,49.763000000000005,34.3,18.9
2020-02-24 15:04:02.801999870,14.917,50.815,44.5,34.4,19.0
2020-02-24 15:04:04.191000060,14.808,49.457,43.816,34.3,19.0
2020-02-24 15:04:05.579000060,15.076,57.9,49.109,34.3,19.0
2020-02-24 15:04:06.964000000,14.026,47.543,41.472,34.2,19.0
2020-02-24 15:05:06.963000060,14.659,67.553,49.943000000000005,33.9,19.1
2020-02-24 15:05:08.351000060,16.135,50.473,42.756,33.9,19.1
2020-02-24 15:05:09.740000000,14.524,59.935,49.379,33.8,19.1
2020-02-24 15:05:11.132999940,17.403,88.473,64.85,33.8,19.1
2020-02-24 15:06:05.553999870,15.41,75.87,50.905,33.9,19.2
2020-02-24 15:06:06.947000060,17.340999999999998,71.972,53.826,33.8,19.2
2020-02-24 15:06:08.335000060,14.503,58.938,45.121,33.8,19.2
2020-02-24 15:06:09.724000000,16.748,86.977,63.855,33.7,19.2
2020-02-24 15:07:04.152999940,16.345,62.88399999999999,49.633,33.7,19.3
